Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
1;1;T;TI=10;;1;ST;;;0;31.01.2016;31.12.9999;;0;
1;200;D;D-803893000 PZD 000 03;ARBEITSANWEISUNG;1;ST;;;0;16.11.2018;31.12.9999;;0;
1;465;L;5.24882.07.0;WASSERUMWAELZPUMPE,VORMONTIERT;1;ST;;;1;31.01.2016;31.12.9999;;0;
1;470;L;3.25940.00.0;FALTKARTON;0,016;ST;;;0;16.11.2018;31.12.9999;;0;
1;475;L;3.25945.00.0;ZWISCHENLAGE;0,032;ST;;;0;16.11.2018;31.12.9999;;0;
1;480;L;3.25967.00.0;GEFACHE;0,032;ST;;;0;16.11.2018;31.12.9999;;0;
1;485;L;3.46287.00.3;PALETTE;2,604;ST;;;1;04.03.2020;31.12.9999;;0;
1;;;5.24882.07.0;WASSERUMWAELZPUMPE,VORMONTIERT;0;;;;0;;;;0;
2;200;D;D-818144000 PZD 000 07;PRUEFVORSCHRIFT;1;ST;;;0;21.09.2015;31.12.9999;;0;
2;205;D;D-818144020 PZD 000 06;PRUEFVORSCHRIFT;1;ST;;;0;21.01.2019;31.12.9999;;0;
2;300;L;3.01326.12.0;GEHAEUSE,KOMPLETT;1;ST;;;1;21.09.2015;31.12.9999;;0;
2;305;L;5.00490.04.0;STATOR,GEWICKELT;1;ST;;;1;21.09.2015;31.12.9999;;0;
2;310;L;5.00795.65.0;LEITERPLATTE,GEWASCHEN;1;ST;;;1;21.09.2015;31.12.9999;;0;
2;315;L;3.01334.01.0;SCHRAUBE;1;ST;;;0;21.09.2015;31.12.9999;;0;
2;320;L;3.02154.01.0;KUEHLBLECH;1;ST;;;0;21.09.2015;31.12.9999;;0;
2;325;L;3.01328.02.0;DECKEL;1;ST;;;1;21.09.2015;31.12.9999;;0;
2;330;L;5.06211.00.0;ROTOR,KOMPLETT;1;ST;X;1;1;21.09.2015;31.12.9999;;0;
2;335;L;5.06211.01.0;ROTOR,KOMPLETT;1;ST;X;1;1;21.09.2015;31.12.9999;;0;
2;340;L;3.16849.02.0;ANLAUFSCHEIBE;1;ST;;;1;21.09.2015;31.12.9999;;0;
2;345;L;3.09617.00.0;O-RING;1;ST;;;1;21.09.2015;31.12.9999;;0;
2;350;L;3.09822.04.0;PUMPENGEHAEUSE;1;ST;;;1;21.09.2015;31.12.9999;;0;
2;355;L;3.09868.01.0;SCHUTZHUELSE;2;ST;;;0;21.09.2015;31.12.9999;;0;
2;360;L;3.09509.00.1;SCHMIERSTOFF;0,03;G;;;1;21.09.2015;31.12.9999;;0;
2;365;L;3.19530.00.0;LOT;0,275;G;;;0;21.09.2015;31.12.9999;;0;
2;370;L;3.09614.03.0;PT-SCHRAUBE;4;ST;;;1;21.09.2015;31.12.9999;;0;
1;;;3.46287.00.3;PALETTE;0;;;;0;;;;0;
2;300;L;3.46287.00.0;PALETTE;0,001;ST;;;1;11.02.2020;31.12.9999;;0;
2;;;3.01326.12.0;GEHAEUSE,KOMPLETT;0;;;;0;;;;0;
3;200;D;D-818109000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
3;205;D;D-818109010 PZD 000 03;TECHN.LIEFERBEDINGUNG;1;ST;;;0;15.03.2011;31.12.9999;;0;
3;210;D;D-801100000 PZD 000 01;TECHNISCHE DATEN;1;ST;;;0;16.02.2007;31.12.9999;;0;
3;300;L;3.03484.01.0;KONTAKT;3;ST;;;0;19.09.2006;31.12.9999;;0;
3;305;L;3.11044.00.0;ACHSE;1;ST;;;1;04.12.2007;31.12.9999;;0;
2;;;5.00490.04.0;STATOR,GEWICKELT;0;;;;0;;;;0;
3;300;L;5.00489.00.1;STATORPAKET,VERPACKT;1;ST;;;1;26.02.2008;31.12.9999;;0;
3;305;L;3.09025.00.0;KONTAKT;2;ST;;;1;30.08.2007;31.12.9999;;0;
3;310;L;3.01323.00.0;ISOLIERTEIL;1;ST;;;1;30.08.2007;31.12.9999;;0;
3;315;L;3.01324.00.0;ISOLIERTEIL;1;ST;;;1;30.08.2007;31.12.9999;;0;
